gamma,learning_rate,initial_t,power_t,noise_sigma,final_ctr,time_sensitivity,timestamp
5.0,0.1,1.0,0.4,0.05,19.83169641726095,0.0016666666666666676,2025-02-27 07:27:32
5.0,0.1,1.0,0.4,0.15,17.772875068170652,0.0016666666666666676,2025-02-27 07:27:35
5.0,0.1,1.0,0.6,0.05,17.97993737134417,0.005833333333333335,2025-02-27 07:27:38
5.0,0.1,1.0,0.6,0.15,18.05429229254851,0.005833333333333335,2025-02-27 07:27:41
5.0,0.1,3.0,0.4,0.05,20.74959965146154,0.025000000000000005,2025-02-27 07:27:45
5.0,0.1,3.0,0.4,0.15,19.979544382193463,0.0066666666666666706,2025-02-27 07:27:49
5.0,0.1,3.0,0.6,0.05,17.921719820168434,0.005833333333333335,2025-02-27 07:27:55
5.0,0.1,3.0,0.6,0.15,17.865966876137346,0.005833333333333335,2025-02-27 07:28:00
5.0,0.5,1.0,0.4,0.05,18.938784717690314,0.0016666666666666676,2025-02-27 07:28:05
5.0,0.5,1.0,0.4,0.15,18.92652081973752,0.0016666666666666676,2025-02-27 07:28:11
5.0,0.5,1.0,0.6,0.05,18.51699804208571,0.0016666666666666676,2025-02-27 07:28:16
5.0,0.5,1.0,0.6,0.15,17.664096921339983,0.0016666666666666676,2025-02-27 07:36:36
5.0,0.5,3.0,0.4,0.05,18.938784717690314,0.0016666666666666676,2025-02-27 07:36:39
5.0,0.5,3.0,0.4,0.15,18.92652081973752,0.0016666666666666676,2025-02-27 07:36:43
5.0,0.5,3.0,0.6,0.05,18.77856388198131,0.0016666666666666676,2025-02-27 07:36:46
5.0,0.5,3.0,0.6,0.15,18.912685155028644,0.0016666666666666676,2025-02-27 07:36:51
5.0,1.0,1.0,0.4,0.05,18.92838289083791,0.0016666666666666676,2025-02-27 07:36:55
5.0,1.0,1.0,0.4,0.15,18.91679683757069,0.0016666666666666676,2025-02-27 07:37:00
5.0,1.0,1.0,0.6,0.05,18.944647348277275,0.0016666666666666676,2025-02-27 07:37:04
5.0,1.0,1.0,0.6,0.15,18.93261335142661,0.0016666666666666676,2025-02-27 07:37:08
5.0,1.0,3.0,0.4,0.05,18.92838289083791,0.0016666666666666676,2025-02-27 07:37:14
5.0,1.0,3.0,0.4,0.15,18.915815339180295,0.0016666666666666676,2025-02-27 07:37:18
5.0,1.0,3.0,0.6,0.05,18.944647348277275,0.0016666666666666676,2025-02-27 07:43:19
5.0,1.0,3.0,0.6,0.15,18.93377537816507,0.0016666666666666676,2025-02-27 07:43:23
15.0,0.1,1.0,0.4,0.05,19.83169641726095,0.0016666666666666676,2025-02-27 07:43:26
15.0,0.1,1.0,0.4,0.15,17.772875068170652,0.0016666666666666676,2025-02-27 07:43:30
15.0,0.1,1.0,0.6,0.05,17.97993737134417,0.005833333333333335,2025-02-27 07:43:33
15.0,0.1,1.0,0.6,0.15,18.05429229254851,0.005833333333333335,2025-02-27 07:43:37
15.0,0.1,3.0,0.4,0.05,20.74959965146154,0.025000000000000005,2025-02-27 07:43:42
15.0,0.1,3.0,0.4,0.15,19.979544382193463,0.0066666666666666706,2025-02-27 07:43:45
15.0,0.1,3.0,0.6,0.05,17.921719820168434,0.005833333333333335,2025-02-27 07:43:50
15.0,0.1,3.0,0.6,0.15,17.865966876137346,0.005833333333333335,2025-02-27 07:43:55
15.0,0.5,1.0,0.4,0.05,18.938784717690314,0.0016666666666666676,2025-02-27 07:43:59
15.0,0.5,1.0,0.4,0.15,18.92652081973752,0.0016666666666666676,2025-02-27 07:55:08
15.0,0.5,1.0,0.6,0.05,18.51699804208571,0.0016666666666666676,2025-02-27 07:55:10
15.0,0.5,1.0,0.6,0.15,17.664096921339983,0.0016666666666666676,2025-02-27 07:55:13
15.0,0.5,3.0,0.4,0.05,18.938784717690314,0.0016666666666666676,2025-02-27 07:55:16
15.0,0.5,3.0,0.4,0.15,18.92652081973752,0.0016666666666666676,2025-02-27 07:55:19
15.0,0.5,3.0,0.6,0.05,18.77856388198131,0.0016666666666666676,2025-02-27 07:55:23
15.0,0.5,3.0,0.6,0.15,18.912685155028644,0.0016666666666666676,2025-02-27 07:55:26
15.0,1.0,1.0,0.4,0.05,18.92838289083791,0.0016666666666666676,2025-02-27 07:55:29
15.0,1.0,1.0,0.4,0.15,18.91679683757069,0.0016666666666666676,2025-02-27 07:55:34
